City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Pangnirtung,66.1451,-65.7125,44.62,87,100,3.04,CA,2022-08-02 02:44:55
93,Qui Nhon,13.7667,109.2333,86.07,66,76,3.36,VN,2022-08-02 02:44:55
94,Aligudarz,33.4006,49.6949,74.05,38,34,1.45,IR,2022-08-02 02:45:56
95,Albany,42.6001,-73.9662,75.85,77,24,1.01,US,2022-08-02 02:44:27
96,Bluff,-46.6,168.3333,54.48,66,6,25.88,NZ,2022-08-02 02:44:32
97,Ilulissat,69.2167,-51.1,48.22,81,40,10.36,GL,2022-08-02 02:45:57
98,Tuktoyaktuk,69.4541,-133.0374,55.4,76,75,11.5,CA,2022-08-02 02:45:57
99,Northam,51.0333,-4.2167,66.38,96,100,16.89,GB,2022-08-02 02:45:58
100,Muzhi,65.3667,64.6667,60.94,59,22,3.85,RU,2022-08-02 02:45:58
101,Atuona,-9.8,-139.0333,77.81,70,25,15.41,PF,2022-08-02 02:45:58
102,Newberg,45.3001,-122.9732,85.44,58,0,12.66,US,2022-08-02 02:45:59
103,Loukhi,66.0764,33.0381,56.39,85,100,4.43,RU,2022-08-02 02:45:59
104,Kargasok,59.0556,80.8572,58.84,58,0,10.04,RU,2022-08-02 02:46:00
105,Yeniseysk,58.4497,92.1703,60.73,58,20,7.61,RU,2022-08-02 02:46:00
106,Hobart,-42.8794,147.3294,58.26,57,40,18.41,AU,2022-08-02 02:46:01
107,Bukachacha,52.9833,116.9167,79.16,47,1,1.86,RU,2022-08-02 02:46:01
108,Bawku,11.0616,-0.2417,73.29,88,93,7.78,GH,2022-08-02 02:46:01
109,Pangai,-19.8,-174.35,82.51,78,40,9.22,TO,2022-08-02 02:46:02
110,Qasigiannguit,68.8193,-51.1922,48.45,82,51,6.15,GL,2022-08-02 02:46:02
111,Talnakh,69.4865,88.3972,49.21,57,12,14.5,RU,2022-08-02 02:46:03
112,Malindi,-3.2175,40.1191,73.62,81,4,13.47,KE,2022-08-02 02:46:03
113,Singkang,2.1006,102.7994,84.13,75,100,3.49,MY,2022-08-02 02:46:04
114,Litvinov,50.6042,13.6181,63.63,93,68,2.8,CZ,2022-08-02 02:46:04
115,Hasaki,35.7333,140.8333,102.29,68,100,7.85,JP,2022-08-02 02:46:05
116,Lata,40.1629,-8.3327,66.09,75,0,1.36,PT,2022-08-02 02:46:05
117,Buraydah,26.326,43.975,91.85,32,75,4.12,SA,2022-08-02 02:46:06
118,Araguacu,-12.9306,-49.8264,74.16,24,0,3.33,BR,2022-08-02 02:46:06
119,Chuy,-33.6971,-53.4616,52.36,94,43,3.69,UY,2022-08-02 02:46:07
120,Port Hawkesbury,45.6169,-61.3485,67.12,87,100,6.91,CA,2022-08-02 02:46:07
121,Cartagena,10.3997,-75.5144,80.22,89,75,6.91,CO,2022-08-02 02:45:29
122,Yatou,37.15,122.3833,82.8,85,88,8.08,CN,2022-08-02 02:46:08
123,Zyryanka,65.75,150.85,84.65,38,89,8.9,RU,2022-08-02 02:46:08
124,Saint-Philippe,-21.3585,55.7679,65.21,74,0,2.62,RE,2022-08-02 02:46:09
125,Iqaluit,63.7506,-68.5145,44.33,93,75,2.3,CA,2022-08-02 02:46:09
126,Cervo,43.6702,-7.4101,68.83,85,100,13.27,ES,2022-08-02 02:46:09
127,Lebu,-37.6167,-73.65,45.59,84,2,11.36,CL,2022-08-02 02:46:10
128,Coihaique,-45.5752,-72.0662,35.55,80,0,3.44,CL,2022-08-02 02:46:10
129,Kroya,-7.6331,109.2461,81.79,72,87,4.52,ID,2022-08-02 02:46:11
130,Giyon,8.5333,37.9833,54.81,98,98,1.32,ET,2022-08-02 02:46:11
131,Dalvik,65.9702,-18.5286,44.53,96,100,10.13,IS,2022-08-02 02:46:12
132,Clyde River,70.4692,-68.5914,37.63,100,100,5.75,CA,2022-08-02 02:46:12
133,Taoudenni,22.6783,-3.9836,97.38,10,0,11.1,ML,2022-08-02 02:46:13
134,Uyuni,-20.4597,-66.825,42.31,15,0,9.4,BO,2022-08-02 02:46:13
135,Flinders,-34.5833,150.8552,69.19,47,0,4.0,AU,2022-08-02 02:47:14
136,Mizdah,31.4451,12.9801,71.28,77,0,4.7,LY,2022-08-02 02:47:14
137,Mao,39.8885,4.2658,73.96,73,0,4.61,ES,2022-08-02 02:45:42
138,Coahuayana,18.7333,-103.6833,80.2,87,71,1.95,MX,2022-08-02 02:47:15
139,Abramovka,51.1886,41.0202,63.68,69,36,8.75,RU,2022-08-02 02:47:15
140,Kudahuvadhoo,2.6708,72.8944,81.95,73,100,18.16,MV,2022-08-02 02:47:16
141,Saint George,37.1041,-113.5841,92.62,36,0,14.97,US,2022-08-02 02:44:41
142,Vadamadurai,10.4667,78.0833,77.31,77,100,4.61,IN,2022-08-02 02:47:16
143,Bathsheba,13.2167,-59.5167,82.06,89,75,17.27,BB,2022-08-02 02:47:17
144,Vrsac,45.1167,21.3036,57.9,100,0,4.61,RS,2022-08-02 02:47:17
145,Nuuk,64.1835,-51.7216,48.81,81,75,12.66,GL,2022-08-02 02:46:41
146,Khor,47.8861,134.9464,81.46,67,20,9.44,RU,2022-08-02 02:47:18
147,Kawalu,-7.3817,108.2082,81.36,65,95,3.53,ID,2022-08-02 02:47:18
148,Srednekolymsk,67.45,153.6833,71.29,69,97,3.02,RU,2022-08-02 02:46:58
149,Bataipora,-22.2953,-53.2711,68.68,43,35,1.95,BR,2022-08-02 02:47:19
150,Vestmannaeyjar,63.4427,-20.2734,47.03,74,17,15.9,IS,2022-08-02 02:47:19
151,Bambous Virieux,-20.3428,57.7575,66.45,94,40,5.75,MU,2022-08-02 02:47:20
152,Perivolion,39.4206,20.0147,80.65,75,10,7.38,GR,2022-08-02 02:47:20
153,Koumac,-20.5667,164.2833,79.32,69,61,2.84,NC,2022-08-02 02:47:20
154,Port Keats,-14.25,129.55,84.02,42,39,7.36,AU,2022-08-02 02:47:21
155,Taywarah,33.35,64.4167,59.97,33,0,8.08,AF,2022-08-02 02:47:21
156,Bengkulu,-3.8004,102.2655,80.19,82,86,6.04,ID,2022-08-02 02:47:22
157,Yulara,-25.2406,130.9889,80.44,14,75,25.32,AU,2022-08-02 02:47:22
158,Port Blair,11.6667,92.75,84.24,79,40,6.91,IN,2022-08-02 02:47:22
159,Nichinan,31.6,131.3667,85.68,70,92,6.87,JP,2022-08-02 02:47:23
160,Bilibino,68.0546,166.4372,70.02,35,56,19.77,RU,2022-08-02 02:47:23
161,Maumere,-8.6199,122.2111,82.2,66,87,2.77,ID,2022-08-02 02:47:24
162,Mogadishu,2.0371,45.3438,75.43,81,4,16.13,SO,2022-08-02 02:47:24
163,Harper,4.375,-7.7169,75.07,74,100,8.88,LR,2022-08-02 02:47:25
164,Kodiak,57.79,-152.4072,65.71,45,0,17.27,US,2022-08-02 02:44:35
165,Steamboat Springs,40.485,-106.8317,70.36,52,100,5.75,US,2022-08-02 02:47:25
166,Rudbar,30.15,62.6,88.61,23,0,19.57,AF,2022-08-02 02:47:26
167,Muncar,-8.4333,114.3333,82.04,76,84,8.05,ID,2022-08-02 02:47:26
168,Nishihara,26.1842,127.7558,88.88,73,20,13.8,JP,2022-08-02 02:45:46
169,Porto Novo,6.4965,2.6036,73.22,84,100,6.2,BJ,2022-08-02 02:47:27
170,Punta Umbria,37.1821,-6.9661,75.65,72,0,4.0,ES,2022-08-02 02:47:27
171,Okha,53.5739,142.9478,62.55,77,97,19.17,RU,2022-08-02 02:47:28
172,Tuatapere,-46.1333,167.6833,51.78,80,35,10.89,NZ,2022-08-02 02:47:28
173,San Vicente,-26.6167,-54.1333,57.81,84,45,2.62,AR,2022-08-02 02:47:29
174,Saint-Pierre,-21.3393,55.4781,65.91,61,0,8.05,RE,2022-08-02 02:47:29
175,Ostrovnoy,68.0531,39.5131,53.96,93,100,14.85,RU,2022-08-02 02:47:30
176,Constitucion,-35.3333,-72.4167,48.34,83,42,6.13,CL,2022-08-02 02:44:24
177,Gidole,5.65,37.3667,54.16,88,100,2.55,ET,2022-08-02 02:47:30
178,Arman,59.7,150.1667,61.02,78,71,9.19,RU,2022-08-02 02:47:31
179,Palmares Do Sul,-30.2578,-50.5097,54.77,86,65,2.39,BR,2022-08-02 02:43:06
180,Hovd,48.0056,91.6419,72.57,27,100,3.69,MN,2022-08-02 02:47:32
181,Kruisfontein,-34.0033,24.7314,49.3,49,81,5.93,ZA,2022-08-02 02:48:32
182,Pevek,69.7008,170.3133,51.69,59,100,16.06,RU,2022-08-02 02:46:55
183,Dharchula,29.85,80.5333,75.78,88,78,3.33,IN,2022-08-02 02:48:33
184,Esperance,-33.8667,121.9,57.04,62,66,36.69,AU,2022-08-02 02:48:33
185,Walvis Bay,-22.9575,14.5053,50.92,73,0,8.32,NA,2022-08-02 02:48:33
186,Jvari,42.7169,42.052,70.23,89,55,4.52,GE,2022-08-02 02:48:34
187,Touba,8.2833,-7.6833,67.66,98,100,6.2,CI,2022-08-02 02:48:34
188,Martyush,56.4,61.8819,59.43,79,70,9.06,RU,2022-08-02 02:48:35
