City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Boa Vista,BR,2.8197,-60.6733,85.98,62,75,5.75,broken clouds
80,Saanen,CH,46.4896,7.2596,74.17,84,100,4.0,overcast clouds
81,Bougouni,ML,11.417,-7.479,75.16,81,56,4.97,broken clouds
82,Bengkulu,ID,-3.8004,102.2655,74.25,92,39,4.45,scattered clouds
83,Clyde River,CA,70.4692,-68.5914,41.23,93,100,11.5,light intensity drizzle rain
84,Olga,RU,43.7444,135.2892,68.47,97,93,4.03,overcast clouds
85,Ledyard,US,41.4398,-72.0142,88.23,67,0,10.36,clear sky
86,Vaini,TO,-21.2,-175.2,77.16,88,40,8.05,scattered clouds
87,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,82,75,12.66,broken clouds
88,Geraldton,AU,-28.7667,114.6,61.21,67,75,21.85,light rain
89,Kodiak,US,57.79,-152.4072,58.35,68,36,12.59,scattered clouds
90,Russell,US,32.3502,-85.1999,91.96,55,20,3.44,few clouds
91,Zhangye,CN,38.9342,100.4517,67.69,69,33,2.91,scattered clouds
92,Quelimane,MZ,-17.8786,36.8883,65.98,88,44,3.6,scattered clouds
93,Andenes,NO,69.3143,16.1194,50.94,87,75,3.44,broken clouds
94,Belmonte,BR,-15.8631,-38.8828,72.21,81,10,5.95,clear sky
95,Cherskiy,RU,68.75,161.3,49.19,99,100,6.42,moderate rain
96,Miandrivazo,MG,-19.5167,45.4667,70.41,68,0,4.18,clear sky
97,Pitimbu,BR,-7.4706,-34.8086,77.59,82,9,5.32,clear sky
98,Minab,IR,27.1467,57.0801,91.72,55,97,0.0,overcast clouds
99,Lorengau,PG,-2.0226,147.2712,81.95,76,94,14.38,overcast clouds
100,Upernavik,GL,72.7868,-56.1549,45.93,73,93,6.8,overcast clouds
101,Falun,SE,60.6036,15.626,56.95,92,100,6.85,overcast clouds
102,Tonj,SS,7.2737,28.6822,69.13,91,60,1.72,light rain
103,Iraucuba,BR,-3.7461,-39.7833,83.66,51,52,9.84,broken clouds
104,Yar-Sale,RU,66.8333,70.8333,55.92,65,11,7.16,few clouds
105,Saint George,US,37.1041,-113.5841,98.94,28,0,7.0,clear sky
106,Carnarvon,AU,-24.8667,113.6333,66.45,68,100,19.37,overcast clouds
107,Asau,RO,46.4333,26.4,65.95,86,1,4.43,clear sky
108,Chokurdakh,RU,70.6333,147.9167,53.73,64,100,6.51,overcast clouds
109,Radom,PL,51.4025,21.1471,69.12,81,52,1.01,broken clouds
110,Qaanaaq,GL,77.484,-69.3632,47.1,57,97,0.76,overcast clouds
111,Stabat,ID,3.761,98.4513,75.4,98,100,2.57,moderate rain
112,Mo I Rana,NO,66.3128,14.1428,51.33,81,0,3.44,clear sky
113,Ilulissat,GL,69.2167,-51.1,44.49,74,46,5.17,scattered clouds
114,Mahebourg,MU,-20.4081,57.7,70.09,68,40,4.61,scattered clouds
115,Sosnovo-Ozerskoye,RU,52.5249,111.5418,58.05,94,100,5.46,overcast clouds
116,Muli,MV,2.9167,73.5667,81.45,75,100,20.13,overcast clouds
117,Ostersund,SE,63.1792,14.6357,54.05,94,100,14.97,overcast clouds
118,Vostok,RU,46.4856,135.8833,66.4,81,90,3.74,overcast clouds
119,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,4.61,scattered clouds
120,Raudeberg,NO,61.9875,5.1352,58.87,63,100,22.35,overcast clouds
121,New Norfolk,AU,-42.7826,147.0587,51.93,77,100,1.99,overcast clouds
122,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.91,91,74,8.21,broken clouds
123,Port Alfred,ZA,-33.5906,26.891,65.88,56,61,7.27,broken clouds
124,Port Elizabeth,ZA,-33.918,25.5701,56.32,81,2,6.91,clear sky
125,Floro,NO,61.5996,5.0328,60.87,100,100,24.16,overcast clouds
